#afm_flds.table_name,field_name,field_grouping,string_format,data_type,edit_mask,dep_cols,is_tc_traceable,is_atxt,attributes,comments,ml_heading,validate_data,min_val,afm_size,afm_module,sl_heading,afm_type,num_format,dflt_val,review_group,ref_table,decimals,enum_list,edit_group,allow_null,primary_key,max_val
afm_transfer_set,autonumbered_id,,25,4,,,0,0,,v19.1 ProjUpWiz,"Autonumbered
ID",1,0,10,0,,"2,070",2,AUTOINCREMENT,,,0,,,0,1,
afm_transfer_set,nrecords_dest,,25,4,,,0,0,,v19.1 ProjUpWiz,"Records in
Destination Table",1,0,10,0,,"2,070",0,0,,,0,,,0,0,
afm_transfer_set,nrecords_inserted,,25,4,,,0,0,,v19.1 ProjUpWiz,"Records
Inserted",1,0,10,0,,"2,070",0,0,,,0,,,0,0,
afm_transfer_set,nrecords_missing,,25,4,,,0,0,,v19.1 ProjUpWiz,"Records
Missing",1,0,10,0,,"2,070",0,0,,,0,,,0,0,
afm_transfer_set,nrecords_source,,25,4,,,0,0,,v19.1 ProjUpWiz,"Records in
Source Extract File",1,0,10,0,,"2,070",0,0,,,0,,,0,0,
afm_transfer_set,nrecords_updated,,25,4,,,0,0,,v19.1 ProjUpWiz,"Records
Updated",1,0,10,0,,"2,070",0,0,,,0,,,0,0,
afm_transfer_set,processing_order,,25,5,,,0,0,,v19.1 ProjUpWiz,"Processing
Order",1,0,10,0,,"2,070",0,0,,,0,,,0,0,
afm_transfer_set,set_name,,5,1,,,0,0,,v19.1 ProjUpWiz,"Data
Transfer Set",1,,64,0,,"2,070",0,,,,0,,,0,0,
afm_transfer_set,status,,5,1,,,0,0,,v19.1 ProjUpWiz,Status,1,,16,0,,"2,070",0,NONE,,,0,NONE;None;PENDING;Pending;IN PROCESS;In Process;EXPORTED;Exported;COMPARED;Compared;IMPORTED;Imported;NO EXTRACT FILE;No Extract File;NO PROJECT TABLE;No Project Table;NOT PROCESSED;Not Processed;UPDATED;Updated,,0,0,
afm_transfer_set,table_name,,5,1,,,0,0,,v19.1 ProjUpWiz,"Table
Name",1,,32,0,,"2,070",0,,,,0,,,0,0,
afm_transfer_set,table_type,,5,1,,,0,0,,v19.1 ProjUpWiz,"Table
Type",1,,32,0,,"2,070",0,,,,0,,,1,0,
afm_flds_trans,afm_module,,25,5,,,0,0,,v19.1 ProjUpWiz,"Domain
Name",1,,1,0,,"2,050",0,1,,,0,0;Schema;1;All;2;Space;3;F&E;4;BldgOps;5;Lease;6;T&C;7;Design;8;Space Plus;9;Planning;20;Other,SYSTEM MGR,1,0,
afm_flds_trans,afm_size,,25,5,,,0,0,,v19.1 ProjUpWiz,Size,1,0,0,0,,"2,050",0,1,,,0,,SYSTEM MGR,0,0,32767
afm_flds_trans,afm_type,,25,5,,,0,0,,v19.1 ProjUpWiz,"ARCHIBUS
Type",1,,0,0,,"2,050",0,2050,,,0,2050;None;2090;Block;2100;Dwgname;2105;Ehandle;2110;Std;2115;Layr;2120;Area;2125;Len;2055;Desc;2075;XDim;2080;YDim;2085;ZDim;2095;Std. Area;2150;Hierarchical;2155;Hierarchical-Concat;2160;Hierarchical Trace;2135;HPattern;2140;HPattern Acad;2145;HPattern Acad Ext;2060;Graphic;2165;Document;2065;Bar code;2245;Currency;2070;Calculated;2068;Calc-Bar Code;2200;Tc Level;2210;Tc Container;2220;Tc Multiplexing;2230;Tc Contained Tbls;2240;Tc nPositions;2241;Tc Ca Std Max Length;2242;Tc Ca Std Layer;2243;Tc Ca Std Width;2244;Tc Ca Std Color;2170;Doc Stg;2175;Questionnaire,SYSTEM MGR,0,0,
afm_flds_trans,allow_null,,25,5,,,0,0,,v19.1 ProjUpWiz,"Allow
Null",1,,0,0,,"2,050",0,1,,,0,0;No;1;Yes,SYSTEM MGR,0,0,
afm_flds_trans,attributes,,40,12,,,0,0,,v19.1 ProjUpWiz,"Field
Attributes",1,,2000,0,,"2,050",0,,,,0,,SYSTEM MGR,1,0,
afm_flds_trans,autonumbered_id,,25,4,,,0,0,,v19.1 ProjUpWiz,"Autonumbered
ID",1,0,10,0,,"2,070",2,AUTOINCREMENT,,,0,,SYSTEM MGR,0,1,
afm_flds_trans,change_type,,5,1,,,0,0,,v19.1 ProjUpWiz,"Field
Differs In",1,,32,0,,"2,050",0,NONE,,,0,NONE;None;CIRC_REF;Field has circular reference;NO_DEFAULT;Default Value not in Enum;NO_DB_VAL_IN_ENUM;Database Value not in Enum;NEW;Field is new;TBL_IS_NEW;Table is new;TBL_IN_PROJ_ONLY;Table is only in project;PROJECT_ONLY;Field is only in project;ALLOW_NULL;Is Null?;AFM_TYPE;AFM Type;ATTRIBUTES;Attributes;COMMENTS;Comments;DATA_TYPE;Data Type;DECIMALS;Decimals;DEP_COLS;Dependent Columns;DFLT_VAL;Default Value;EDIT_GROUP;Edit Group;EDIT_MASK;Edit Mask;ENUM_LIST;Enum List;FIELD_GROUPING;Field Grouping;IS_ATXT;Is Asset Text;IS_TC_TRACEABLE;Is Tc_Traceable;MAX_VAL;Maximum Val;MIN_VAL;Minimum Val;ML_HEADING;Multiline Heading;NUM_FORMAT;Numeric Format;PRIMARY_KEY;Primary Key;REF_TABLE;Reference Table;REVIEW_GROUP;Review Group;SIZE;Size;SL_HEADING;Single Line Heading;STRING_FORMAT;String Format;VALIDATE;Validate Data,SYSTEM MGR,0,0,
afm_flds_trans,chosen_action,,5,1,,,0,0,,v19.1 ProjUpWiz,"Action -
Chosen",1,,32,0,,"2,050",0,NO ACTION,,,0,NO ACTION;No Action;APPLY CHANGE;Apply Change;KEEP EXISTING;Keep Existing;DELETE FIELD;Delete Field,SYSTEM MGR,0,0,
afm_flds_trans,comments,,5,1,,,0,0,,v19.1 ProjUpWiz,Comments,1,,200,0,,"2,050",0,,,,0,,SYSTEM MGR,1,0,
afm_flds_trans,data_dict_diffs,,5,12,,,0,0,,v19.1 ProjUpWiz,"Data Dictionary
Differences",1,,256,0,,"2,050",0,,,,0,,SYSTEM MGR,1,0,
afm_flds_trans,data_type,,25,5,,,0,0,,v19.1 ProjUpWiz,"Data
Type",1,,0,0,,"2,050",0,1,,,0,1;Char;4;Integer;5;Smallint;2;Numeric;6;Float;7;Real;8;Double;9;Date;10;Time;12;Varchar;-1;LongVarchar,SYSTEM MGR,0,0,
afm_flds_trans,decimals,,25,5,,,0,0,,v19.1 ProjUpWiz,Decimals,1,0,0,0,,"2,050",0,0,,,0,,SYSTEM MGR,0,0,15
afm_flds_trans,dep_cols,,5,1,,,0,0,,v19.1 ProjUpWiz,"Fields to
Validate",1,,64,0,,"2,050",0,,,,0,,SYSTEM MGR,1,0,
afm_flds_trans,dflt_val,,5,1,,,0,0,,v19.1 ProjUpWiz,"Default
Value",1,,128,0,,"2,050",0,,,,0,,SYSTEM MGR,1,0,
afm_flds_trans,edit_group,,20,1,,,0,0,,v19.1 ProjUpWiz,"Edit
Group",1,,64,0,,"2,050",0,,,,0,,SYSTEM MGR,1,0,
afm_flds_trans,edit_mask,,5,1,,,0,0,,v19.1 ProjUpWiz,"Edit
Mask",1,,32,0,,"2,050",0,,,,0,,SYSTEM MGR,1,0,
afm_flds_trans,enum_list,,40,12,,,0,0,,v19.1 ProjUpWiz,"Enumeration
List",1,,850,0,,"2,050",0,,,,0,,SYSTEM MGR,1,0,
afm_flds_trans,field_grouping,,5,1,,,0,0,,v19.1 ProjUpWiz,"Field
Grouping",1,,16,0,,"2,050",0,,,,0,,SYSTEM MGR,1,0,
afm_flds_trans,field_name,,5,1,,,0,0,,v19.1 ProjUpWiz,"Field
Name",1,,32,0,,"2,050",0,,,,0,,SYSTEM MGR,0,0,
afm_flds_trans,is_atxt,,25,5,,,0,0,,v19.1 ProjUpWiz,"Is Asset
Text?",1,,0,0,,"2,050",0,0,,,0,0;0;1;1;2;2;3;3;4;4;5;5;6;6;7;7;8;8;9;9;10;10;11;11;12;12;13;13;14;14;15;15;16;16;17;17;18;18;19;19;20;20,SYSTEM MGR,0,0,
afm_flds_trans,is_tc_traceable,,25,5,,,0,0,,v19.1 ProjUpWiz,"Is Telecom
Traceable?",1,,2,0,,"2,050",0,0,,,0,0;0;1;1;2;2;3;3;4;4;5;5;6;6;7;7;8;8;9;9;10;10;11;11;12;12;13;13;14;14;15;15;16;16;17;17;18;18;19;19;20;20,SYSTEM MGR,0,0,
afm_flds_trans,max_val,,5,1,,,0,0,,v19.1 ProjUpWiz,"Maximum
Value",1,,32,0,,"2,050",0,,,,0,,SYSTEM MGR,1,0,
afm_flds_trans,min_val,,5,1,,,0,0,,v19.1 ProjUpWiz,"Minimum
Value",1,,32,0,,"2,050",0,,,,0,,SYSTEM MGR,1,0,
afm_flds_trans,ml_heading,,30,1,,,0,0,,v19.1 ProjUpWiz,"Multi-Line
Heading",1,,128,0,,"2,055",0,,,,0,,SYSTEM MGR,1,0,
afm_flds_trans,num_format,,25,5,,,0,0,,v19.1 ProjUpWiz,"Numeric
Format",1,,0,0,,"2,050",0,0,,,0,0;Default;1;Money;2;NoSeparator,SYSTEM MGR,0,0,
afm_flds_trans,primary_key,,25,5,,,0,0,,v19.1 ProjUpWiz,"Primary
Key",1,,0,0,,"2,050",0,0,,,0,0;0;1;1;2;2;3;3;4;4;5;5;6;6;7;7;8;8;9;9;10;10;11;11;12;12;13;13;14;14;15;15,SYSTEM MGR,0,0,
afm_flds_trans,rec_action,,5,1,,,0,0,,v19.1 ProjUpWiz,"Action -
Recommended",1,,32,0,,"2,050",0,NO ACTION,,,0,NO ACTION;No Action;APPLY CHANGE;Apply Change;KEEP EXISTING;Keep Existing;DELETE FIELD;Delete Field;REVIEW ERROR;Review error,SYSTEM MGR,0,0,
afm_flds_trans,ref_table,,5,1,,,0,0,,v19.1 ProjUpWiz,"Validating
Table",1,,32,0,,"2,050",0,,,,0,,SYSTEM MGR,1,0,
afm_flds_trans,review_group,,20,1,,,0,0,,v19.1 ProjUpWiz,"Review
Group",1,,64,0,,"2,050",0,,,,0,,SYSTEM MGR,1,0,
afm_flds_trans,sl_heading,,5,1,,,0,0,,v19.1 ProjUpWiz,"Single-Line
Heading",1,,64,0,,"2,050",0,,,,0,,SYSTEM MGR,1,0,
afm_flds_trans,sql_table_diffs,,5,12,,,0,0,,v19.1 ProjUpWiz,"SQL Table
Differences",1,,256,0,,"2,050",0,,,,0,,SYSTEM MGR,1,0,
afm_flds_trans,string_format,,25,5,,,0,0,,v19.1 ProjUpWiz,"String
Format",1,,0,0,,"2,050",0,5,,,0,5;AnyChar;10;Upper;15;UpperAlpha;20;UpperAlphaNum;25;Numbers;30;Multiline;35;Mask;40;Memo,SYSTEM MGR,0,0,
afm_flds_trans,table_name,,5,1,,,0,0,,v19.1 ProjUpWiz,"Table
Name",1,,32,0,,"2,050",0,,,,0,,SYSTEM MGR,0,0,
afm_flds_trans,transfer_status,,5,1,,,0,0,,v19.1 ProjUpWiz,"Data Transfer
Status",1,,10,1,,"2,050",0,NO CHANGE,,,0,INSERTED;Inserted;UPDATED;Updated;NO CHANGE;No Change;MISSING;Missing;PENDING;Pending;ERROR;Error,SYSTEM MGR,0,0,
afm_flds_trans,validate_data,,5,5,,,0,0,,v19.1 ProjUpWiz,"Validate
Data?",1,,1,0,,"2,050",0,1,,,0,0;No;1;Yes,SYSTEM MGR,0,0,
afm_wf_rules,transfer_status,,5,1,,,0,0,,v19.1,"Data Transfer
Status",1,,10,1,,"2,050",0,NO CHANGE,,,0,INSERTED;Inserted;UPDATED;Updated;NO CHANGE;No Change;MISSING;Missing;PENDING;Pending;ERROR;Error,SYSTEM MGR,0,0,
